snapped_at,price,market_cap,total_volume
19-08-20,2.936664998,0,82413981.3
20-08-20,2.936664998,0,82413981.3
21-08-20,2.89879087,0,49511744.88
22-08-20,2.871923158,0,51233752.83
23-08-20,4.481388824,4028277492,473920951.3
24-08-20,3.966082766,3630430966,335685225.4
25-08-20,4.576939499,4162344882,395502571.9
26-08-20,5.493947148,4910960800,729611892.2
27-08-20,6.067730199,5508438432,853376793.3
28-08-20,5.638530633,5147685414,995432623.2
29-08-20,6.16232287,5563188700,584978197.1
30-08-20,6.148507936,5580674884,407313299.9
31-08-20,5.901759395,5350103717,366896197.5
01-09-20,6.298797722,5712939725,430398059.7
02-09-20,6.229619252,5693335996,472601408.6
03-09-20,6.158884269,5597505846,485766767.1
04-09-20,5.68342117,5294708815,630783985
05-09-20,5.134015218,4675680672,676657581.6
06-09-20,4.130197887,3750820474,595268790.9
07-09-20,4.789627897,4394131228,511543436.8
08-09-20,4.59493091,4190737576,365705935
09-09-20,4.282524685,3891004374,234920666.9
10-09-20,4.703108698,4298181269,274399152.6
11-09-20,4.577765288,4177237545,254092704.7
12-09-20,4.6258642,4216287873,212155209.2
13-09-20,5.139290011,4663414090,317307477.3
14-09-20,5.294815256,4819470921,413410119.8
15-09-20,5.339198957,4874640597,368584203.2
16-09-20,5.113838698,4673343463,301361216.9
17-09-20,5.075261807,4634502328,272070780.6
18-09-20,5.323352024,4871310609,299530704.4
19-09-20,5.242095139,4771593286,218845784.1
20-09-20,4.924359685,4511663058,180793689.7
21-09-20,4.673545848,4287331139,277405320.5
22-09-20,4.089749652,3770969365,376122862
23-09-20,4.168355681,3807699810,207312314.3
24-09-20,4.016036356,3701917991,208272484.1
25-09-20,4.389748822,4024415211,212165515.1
26-09-20,4.412862728,4036996778,176573808
27-09-20,4.340299972,3981431938,124028159.5
28-09-20,4.306460644,3966805488,123873259.3
29-09-20,4.420033114,4015168632,192688342
30-09-20,4.491527362,4123709370,200465046.7
01-10-20,4.347197259,3998481296,131549097.2
02-10-20,4.338624033,3982054342,185800897.4
03-10-20,4.122609864,3786983101,205627933.6
04-10-20,4.066948359,3739978579,104601491.6
05-10-20,4.176764231,3849818336,89731299.09
06-10-20,4.160236945,3833319535,132019868.4
07-10-20,3.748835472,3440251737,210625817.4
08-10-20,3.852999444,3541978348,216001362.4
09-10-20,4.101843107,3769762007,214716289.6
10-10-20,4.258895922,3921415691,182371173
11-10-20,4.254212996,3919459352,163446062.4
12-10-20,4.250188244,3916199449,124735788.7
13-10-20,4.316288997,3977129133,188455914.3
14-10-20,4.248906706,3915494880,155609893.3
15-10-20,4.194644024,3867261708,168709011.6
16-10-20,4.094854852,3777390476,143464781.5
17-10-20,3.902291341,3609407515,161294195.7
18-10-20,3.964479093,3658072955,69398889.69
19-10-20,4.106552351,3790640346,84816935.22
20-10-20,3.991640614,3671134189,95007120.32
21-10-20,3.907166823,3604225668,148089643.5
22-10-20,4.13130491,3812512446,174236166
23-10-20,4.264652281,3939180404,146291489.2
